ranking,song,band_singer,songurl,titletext,url,year,lyrics,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
37,'03 Bonnie & Clyde,Jay-Z,/wiki/%2703_Bonnie_%26_Clyde,'03 Bonnie & Clyde,/wiki/Jay-Z,2003,"Uh-huh, uh, uh
You ready, B?
Let's go get 'em

Look for me
Young, B, cruisin' down the Westside Highway
Doin' what we like to do, our way
Eyes behind shades
This necklace the reason all of my dates been blind dates
But today I got my thoroughest girl with me
I'm mashin' the gas, she's grabbin' the wheel, it's trippy
How hard she rides with me, the new Bobby and Whitney
Only time we don't speak is durin' Sex and the City
She gets Carrie fever, but soon as the show's over
She's right back to being my soldier
'Cause mami's a rider and I'm a roller
Put us together, how they gon' stop both us?
Whatever she lacks I'm right over her shoulder (Woo)
When I'm off track, mami is keepin' me focused
So let's lock this down like it's supposed to be
The '03 Bonnie and Clyde: Hov' and B, holla

All I need in this life of sin is me and my girlfriend
(Me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend, that's right)
All I need in this life of sin is me and my girlfriend
(Me and my girlfriend, look for me)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend)
You might also like
The problem is, you dudes treat the one that you lovin'
With the same respect that you treat the one that you humpin'
That ain't 'bout nothin', if ever you mad about somethin'
It won't be that, oh no, it won't be that
I don't be at places where we comfy at
With no be-atch, oh no, you won't see that
And no, I ain't perfect, nobody walkin' this earth's surface is
But girlfriend, work with the kid
I keep you workin' that Hermès Birkin bag
Manolo Blahnik Timbs, Aviator lens
Six hundred drops, Mercedes Benz
The only time you wear Burberry to swim
And I don't have to worry, only worry is him
She do anything necessary for him
And I do anything necessary for her
So don't let the necessary occur, yep

All I need in this life of sin is me and my girlfriend
(Me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend, that's right)
All I need in this life of sin is me and my girlfriend
(Me and my girlfriend, look for me)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend, talk to 'em, B)
If I was your girlfriend (Uh, uh, uh-huh)
I'll be there for you (Woo, uh)
If somebody hurts you (Uh)
Even if that somebody was me (Woo, that's hot)
Yeah-hee (Uh, break it down for 'em, B)
Sometimes I trip on how happy we could be (Take 'em outside)
And so I put this on my life (Woo, uh)
Nobody or nothing will ever come between us (Woo, uh, woo)
And I promise I'll give my life (Woo, I'm dancin', woo)
My love and my trust if you was my boyfriend (One more time)
Put this on my life (Uh, uh, uh)
The air that I breathe in, all that I believe in (Woo, uh)
I promise I'll give my life (Woo)
My love and my trust if you was my boyfriend (Uh, uh)

All I need in this life of sin is me and my girlfriend
(Me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend, that's right)
All I need in this life of sin is me and my girlfriend
(Me and my girlfriend)
Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend)74Embed",spotify:track:5ljCWsDlSyJ41kwqym2ORw,0.759,0.678,9,-5.148,0,0.314,0.23,0,0.15,0.327,89.64,audio_features,5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/tracks/5ljCWsDlSyJ41kwqym2ORw,https://api.spotify.com/v1/audio-analysis/5ljCWsDlSyJ41kwqym2ORw,205560,4
84,19 Somethin',Mark Wills,/wiki/19_Somethin%27,19 Somethin',/wiki/Mark_Wills,2003,"Woo
Oh yeah

I saw Star Wars at least eight times
Had the Pac-Man pattern memorized
And I've seen the stuff they put inside
Stretch Armstrong, yeah
Oh, I was Roger Staubach in my backyard
Had a shoebox full of baseball cards
And a couple of Evel Knievel scars on my arm
Well, I was a kid when Elvis died
And my mama cried

It was 1970-something
In the world that I grew up in
Farrah Fawcett hair-do days
Bell-bottoms and eight-track tapes
Lookin' back now I can see me
And oh, man, did I look cheesy
But I wouldn't trade those days for nothin'
Oh, it was 1970-something, yeah

It was the dawning of a new decade
We got our first microwave
And Dad broke down and finally shaved them old sideburns off
I took the stickers off of my Rubik's Cube
Watched MTV all afternoon
My first love was Daisy Duke in them cut-off jeans
A space shuttle fell out of the sky
And the whole world cried
You might also like
It was 1980-something
In the world that I grew up in
Skating rinks and black Trans Ams
Big hair and parachute pants
And lookin' back now I can see me
And oh, man, did I look cheesy
I wouldn't trade those days for nothin'
Oh, it was 1980-something

Now I got a mortgage and an SUV
But all this responsibility
Makes me wish (Wish) sometimes (Sometimes)

It was 1980-something
In the world that I grew up in
Skating rinks and black Trans Ams
Big hair and parachute pants
And lookin' back now I can see me
And oh, man, did I look cheesy
I wouldn't trade those days for nothin'
Oh, it was 1980-something

1970-something
Aw, it was 19-something4Embed",spotify:track:0ElpjZyX8YBiXuYcDC1Ci9,0.58,0.8160000000000001,4,-5.165,1,0.0726,0.132,0,0.0776,0.8140000000000001,89.938,audio_features,0ElpjZyX8YBiXuYcDC1Ci9,https://api.spotify.com/v1/tracks/0ElpjZyX8YBiXuYcDC1Ci9,https://api.spotify.com/v1/audio-analysis/0ElpjZyX8YBiXuYcDC1Ci9,200467,4
14,21 Questions,50 Cent,/wiki/21_Questions,21 Questions,/wiki/50_Cent,2003,"New York City
You are now rockin'
With 50 Cent
You gotta love it

I just wanna chill and twist the lye
Catch stunts in my 7-45
You drive me crazy, shorty, I
Need to see you and feel you next to me
I provide everything you need, and I
Like your smile, I don't want to see you cry
Got some questions that I got to ask
And I hope you can come up with the answers, babe

Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

If I fell off tomorrow, would you still love me?
If I didn't smell so good, would you still hug me?
If I got locked up and sentenced to a quarter century
Could I count on you to be there to support me mentally?
If I went back to a hooptie from a Benz
Would you poof and disappear like some of my friends?
If I was hit and I was hurt, would you be by my side?
If it was time to put in work, would you be down to ride?
I get out and peel a nigga cap, chill and drive
I'm askin' questions to find out how you feel inside
If I ain't rap 'cause I flip burgers at Burger King
Would you be ashamed to tell your friends you're feelin' me?
In the bed, if I used my tongue, would you like that?
If I wrote you a love letter, would you write back?
Now, we could have a little drink, you know, a nightcap
And we could go do what you like, I know you like that (Like that)
You might also like
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

Now would you leave me if your father found out I was thuggin'?
Do you believe me when I tell you, you the one I'm lovin'?
Are you mad ‘cause I'm askin' you twenty-one questions?
Are you my soulmate? ‘Cause if so, girl, you a blessing
Do you trust me enough to tell me your dreams?
I'm starin' at you, tryna figure how you got in them jeans
If I was down, would you say things to make me smile?
I'll treat you how you want to be treated, just teach me how
If I was with some other chick and someone happened to see
And when you asked me about it I said it wasn't me
Would you believe me, or up and leave me?
How deep is our bond if that's all it takes for you to be gone?
We only humans, girl, we make mistakes
To make it up, I'll do whatever it take
I love you like a fat kid love cake
You know my style, I say anything to make you smile
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

Could you love me in a Bentley?
Could you love me on a bus?
I'll ask twenty-one questions and they all about us
Could you love me in a Bentley?
Could you love me on a bus?
I'll ask twenty-one questions and they all about us150Embed",spotify:track:41bIQPBE1lFN0mmw6Lmssz,0.5760000000000001,0.807,6,-3.908,0,0.317,0.353,3.63e-4,0.0512,0.908,90.012,audio_features,41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/audio-analysis/41bIQPBE1lFN0mmw6Lmssz,224427,4
14,21 Questions,Nate Dogg,/wiki/21_Questions,21 Questions,/wiki/Nate_Dogg,2003,"New York City
You are now rockin'
With 50 Cent
You gotta love it

I just wanna chill and twist the lye
Catch stunts in my 7-45
You drive me crazy, shorty, I
Need to see you and feel you next to me
I provide everything you need, and I
Like your smile, I don't want to see you cry
Got some questions that I got to ask
And I hope you can come up with the answers, babe

Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

If I fell off tomorrow, would you still love me?
If I didn't smell so good, would you still hug me?
If I got locked up and sentenced to a quarter century
Could I count on you to be there to support me mentally?
If I went back to a hooptie from a Benz
Would you poof and disappear like some of my friends?
If I was hit and I was hurt, would you be by my side?
If it was time to put in work, would you be down to ride?
I get out and peel a nigga cap, chill and drive
I'm askin' questions to find out how you feel inside
If I ain't rap 'cause I flip burgers at Burger King
Would you be ashamed to tell your friends you're feelin' me?
In the bed, if I used my tongue, would you like that?
If I wrote you a love letter, would you write back?
Now, we could have a little drink, you know, a nightcap
And we could go do what you like, I know you like that (Like that)
You might also like
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

Now would you leave me if your father found out I was thuggin'?
Do you believe me when I tell you, you the one I'm lovin'?
Are you mad ‘cause I'm askin' you twenty-one questions?
Are you my soulmate? ‘Cause if so, girl, you a blessing
Do you trust me enough to tell me your dreams?
I'm starin' at you, tryna figure how you got in them jeans
If I was down, would you say things to make me smile?
I'll treat you how you want to be treated, just teach me how
If I was with some other chick and someone happened to see
And when you asked me about it I said it wasn't me
Would you believe me, or up and leave me?
How deep is our bond if that's all it takes for you to be gone?
We only humans, girl, we make mistakes
To make it up, I'll do whatever it take
I love you like a fat kid love cake
You know my style, I say anything to make you smile
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?
Girl, it's easy to love me now
Would you love me if I was down and out?
Would you still have love for me?

Could you love me in a Bentley?
Could you love me on a bus?
I'll ask twenty-one questions and they all about us
Could you love me in a Bentley?
Could you love me on a bus?
I'll ask twenty-one questions and they all about us150Embed",spotify:track:0sRWGXzyh9S2sWUt9rTQXu,0.561,0.775,1,-6.22,0,0.322,0.34900000000000003,3.03e-4,0.267,0.85,90.929,audio_features,0sRWGXzyh9S2sWUt9rTQXu,https://api.spotify.com/v1/tracks/0sRWGXzyh9S2sWUt9rTQXu,https://api.spotify.com/v1/audio-analysis/0sRWGXzyh9S2sWUt9rTQXu,134133,4
92,24/7,Kevon Edmonds,/wiki/24/7_(Kevon_Edmonds_song),24/7,/wiki/Kevon_Edmonds,2000,"You're bringing out the best in me
And though I've been in love before
I've never had the kind of love that made me feel secure
I never thought that give and take
Mentality was right for me, mmm
You made me open up and see
That it's for real
And there's no other place I'd rather be
CHORUS:
Think about you all the time
24-7 babe
The love I have inside for you
Is more than any words can say
Pray to God on bended knee
We'll always be together babe
You and me
If there's a high or low
Anything can be babe
I'll be there for you
Pick you up off your feet, yeah
Pray to God on bended knee
We'll always be together babe
You and me
You might also likeWhen I'm in my nine to five
I smile across my lips when I
Daydream about the night before
I count the minutes till I'm in your arms once more
My friends they don't understand, no
In me they see a brand new man
I give you props and tell them that
My shorty's bout it
She personifies the love she gives
CHORUS
Oh how I've waited for this moment in my life
It's you that I adore
Baby with you I am secure
My life is in your hands
And now I understand
What it means to be in love again, oh
Never gonna let u go, oh no
Chorus until end1Embed",spotify:track:4rZB2G955dQMcjlb7e3VNB,0.6960000000000001,0.627,4,-5.629,1,0.0334,0.0685,0,0.0993,0.322,116.047,audio_features,4rZB2G955dQMcjlb7e3VNB,https://api.spotify.com/v1/tracks/4rZB2G955dQMcjlb7e3VNB,https://api.spotify.com/v1/audio-analysis/4rZB2G955dQMcjlb7e3VNB,274267,4
52,7 Days,Craig David,/wiki/7_Days_(Craig_David_song),7 Days,/wiki/Craig_David,2002,"You know what?
Got something to say
Craig David
7 days
Check it out, yeah

On my way to see my friends
Who lived a couple blocks away from me (Oh)
As I walked through the subway
It must have been about quarter past three
In front of me
Stood a beautiful honey with a beautiful body (Body)
She asked me for the time
I said it'd cost her a name
A six digit number and a date with me tomorrow at nine

Did she decline? No
Didn't she mind? I don't think so
Was it for real? Damn sure
What was the deal? A pretty girl, age twenty-four
So was she keen? She couldn't wait
Cinnamon queen? Let me update
What did she say?
She said she'd, ""Love to rendezvous""
She asked me, ""What we were gonna do?""
Said we'd start with a bottle of Moet for two
You might also like
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday

Nine was the time
'Cause I'll be getting mine
And she was looking fine
Smooth talker
She told me
She'd love to unfold me all night long
Ooh, I loved the way she kicked it
From the front to back she flipped it
(Back she flipped it, the way she kicked it)
And I, oh-oh, I, yeah
Hope that she'd care
'Cause I'm a man who'll always be there (Ooh, yeah)

I'm not a man to play around, baby (Ooh, yeah)
'Cause a one night stand isn't really fair
From the first impression girl, hmm, you don't seem to be like that
'Cause there's no need to chat 'for there'll be plenty time for that
From the subway to my home
Endless ringing off my phone
When you're feeling all alone
All you gotta do
Is just call me, call me
Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday

(Break it down, break it down)
Since I met this special lady
Ooh, yeah
I can't get her off my mind
She's one of a kind
And I ain't about to deny it
It's a special kind of thing
With you, oh

Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
I met this girl on Monday
Took her for a drink on Tuesday
We were making love by Wednesday
And on Thursday and Friday and Saturday, we chilled on Sunday
(Sunday, Sunday, Sunday, Sunday)27Embed",spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,audio_features,0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/tracks/0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/audio-analysis/0gPQTLaqHDgdupKEok7J2x,235133,4
39,A Moment Like This,Kelly Clarkson,/wiki/A_Moment_Like_This,A Moment Like This,/wiki/Kelly_Clarkson,2002,"What if I told you it was all meant to be?
Would you believe me? Would you agree?
It's almost that feeling that we've met before
So tell me that you don't think I'm crazy
When I tell you love has come here and now

A moment like this
Some people wait a lifetime for a moment like this
Some people search forever for that one special kiss
Oh, I can't believe it's happening to me
Some people wait a lifetime for a moment like this

Everything changes, but beauty remains
Something so tender, I can't explain
Well, I may be dreamin', but 'til I awake
Can we make this dream last forever?
And I'll cherish all the love we share

A moment like this
Some people wait a lifetime for a moment like this
Some people search forever for that one special kiss
Oh, I can't believe it's happening to me
Some people wait a lifetime for a moment like this
You might also like
Could this be the greatest love of all?
I wanna know that you will catch me when I fall (Fall)
So let me tell you this
Some people wait a lifetime for a moment

Like this
Some people wait a lifetime for a moment like this
Some people search forever for that one special kiss
Oh, I can't believe it's happening to me
Some people wait a lifetime for a moment like this

Oh, like this (A moment like)
Oh, I can't believe it's happening to me
Some people wait a lifetime for a moment like this
Oh, like this3Embed",spotify:track:4kvdX9zzsix7jYHsRVkVUH,0.414,0.5720000000000001,8,-3.918,1,0.0311,0.163,0,0.115,0.16,145.184,audio_features,4kvdX9zzsix7jYHsRVkVUH,https://api.spotify.com/v1/tracks/4kvdX9zzsix7jYHsRVkVUH,https://api.spotify.com/v1/audio-analysis/4kvdX9zzsix7jYHsRVkVUH,228280,4
91,A New Day Has Come,Celine Dion,/wiki/A_New_Day_Has_Come_(song),A New Day Has Come,/wiki/Celine_Dion,2002,"A new day has come
A new day has come

I was waiting for so long
For a miracle to come
Everyone told me to be strong
Hold on and don't shed a tear
Through the darkness and good times
I knew I'd make it through
And the world thought I had it all
But I was waiting for you

Hush, now
I see a light in the sky
Oh, it's almost blinding me
I can't believe I've been touched by an angel with love

Let the rain come down and wash away my tears
Let it fill my soul and drown my fears (Drown my fears)
Let it shatter the walls for a new sun
A new day has come
A new day has come
(La, da, da, oh-oh, oh-oh, oh-oh)
You might also like
Where it was dark, now there's light
Where there was pain, now there's joy
Where there was weakness, I found my strength
All in the eyes of a boy

Hush, now
I see a light in the sky
Oh, it's almost blinding me
I can't believe I've been touched by an angel with love

Let the rain come down and wash away my tears
Let it fill my soul and drown my fears (Drown my fears)
Let it shatter the walls for a new sun
A new day has come
A new day has come (Oh-oh-oh, oh)
(Mmm, oh-oh, ooh-ooh-ooh-ooh, ooh)
Let the rain come down and wash away my tears
Let it fill my soul and drown my fears (Drown my fears)
Let it shatter the walls for a new sun
A new day has come
A new day has come

Oh, a light (Ah, ah)
Hush, now
I see a light in your eyes
All in the eyes of a boy (A new day)
I can't believe I've been touched by an angel, with love (A new day)
I can't believe I've been touched by an angel with love (A new day)
(A new day)
Hush, now (A new day)
Rain come down (A new day)
Rain come down2Embed",spotify:track:2FTZeRHQ4gRPViPMpWL9uX,0.6910000000000001,0.64,8,-5.087,1,0.0384,0.0247,5.24e-6,0.2,0.452,101.991,audio_features,2FTZeRHQ4gRPViPMpWL9uX,https://api.spotify.com/v1/tracks/2FTZeRHQ4gRPViPMpWL9uX,https://api.spotify.com/v1/audio-analysis/2FTZeRHQ4gRPViPMpWL9uX,210227,4
6,A Thousand Miles,Vanessa Carlton,/wiki/A_Thousand_Miles,A Thousand Miles,/wiki/Vanessa_Carlton,2002,"
Makin' my way downtown
Walkin' fast, faces pass
And I'm homebound
Starin' blankly ahead
Just makin' my way
Makin' a way through the crowd

And I need you
And I miss you
And now I wonder

If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you
Tonight

It's always times like these when I think of you
And I wonder if you ever think of me
'Cause everything's so wrong, and I don't belong
Livin' in your precious memory
You might also like
'Cause I'll need you
And I'll miss you
And now I wonder

If I could fall into the sky
Do you think time would pass me by?
Oh, 'cause you know I'd walk a thousand miles
If I could just see you
Tonight

I, I don't wanna let you know
I, I drown in your memory
I, I don't wanna let this go
I, I don't

Makin' my way downtown
Walkin' fast, faces pass
And I'm homebound
Starin' blankly ahead
Just makin' my way
Makin' a way through the crowd
And I still need you
I still miss you
And now I wonder

If I could fall into the sky
Do you think time would pass us by?
'Cause you know I'd walk a thousand miles
If I could just see you, oh-oh
If I could fall into the sky
Do you think time would pass me by?
'Cause you know I'd walk a thousand miles
If I could just see you
If I could just hold you
Tonight36Embed",spotify:track:4w1lzcaoZ1IC2K5TwjalRP,0.56,0.8250000000000001,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,audio_features,4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/tracks/4w1lzcaoZ1IC2K5TwjalRP,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,237493,4
51,A Woman's Worth,Alicia Keys,/wiki/A_Woman%27s_Worth,A Woman's Worth,/wiki/Alicia_Keys,2002,"You could buy me diamonds, you could buy me pearls
Take me on a cruise around the world
(Baby, you know I'm worth it)
Dinner lit by candles, run my bubble bath
Make love tenderly to last and last
(Baby, you know I'm worth it)

Wanna please, wanna keep, wanna treat your woman right
Not just dough, but to show that you know she is worth your time
You will lose if you choose to refuse to put her first
She will and she can find a man who knows her worth
Mm-mmm

'Cause a real man knows a real woman when he sees her (When he sees her)
And a real woman knows a real man ain't 'fraid to please her (Please her)
And a real woman knows a real man always comes first (First)
And a real man just can't deny a woman's worth (A woman's worth)

Mm-hm, mm-hmm
Mm-hm, mm-hmm
Mm-hm, mm-hmm
Mm (Uh, hold up)
You might also like
If you treat me fairly, I'll give you all my goods
Treat you like a real woman should
(Baby, I know you're worth it)
If you never play me, promise not to bluff
I'll hold you down when shit gets rough
('Cause baby, I know you're worth it)

She walks the mile, makes you smile, all the while being true
Don't take for granted the passions that she has for you
You will lose if you choose to refuse to put her first
She will and she can find a man who knows her worth
Ohh

'Cause a real man knows a real woman when he sees her (When he sees her)
And a real woman knows a real man ain't 'fraid to please her (Please me)
And a real woman knows a real man always comes first (First, baby)
And a real man just can't deny a woman's worth

No need to read between the lines spelled out for you (Spelled out for you)
Just hear this song 'cause you can't go wrong when you value (Better value)
A woman's (Sing it) woman's, woman's, woman's worth
Yeah
'Cause a real man knows a real woman when he sees her (When he sees her)
And a real woman knows a real man ain't 'fraid to please her (Please me)
And a real woman knows a real man always comes first (First, baby)
And a real man just can't deny a woman's worth (A woman's worth)
'Cause a real man knows a real woman when he sees her (Nothing like a woman's worth)
And a real woman knows a real man ain't 'fraid to please her (Ooh-ooh)
And a real woman knows a real man always comes first (Comes first)
And a real man just can't deny a woman's worth (Woman's worth)

Mm-hm, mm-hmm (Do-ooh)
Mm-hm, mm-hmm (Sibba-dibba, do-do)
Mm-hm, mm-hmm (Do-do-do-di-di-di-di)
Mm-hm, mm-hmm (Ooh)
Mm-hm, mm-hmm (Cherish that woman)
Mm-hm, mm-hmm (It better be good for that woman)
Mm-hm, mm-hmm (Uh-uh, uh-uh, uh-uh)
Mm-hm, mm-hmm (Ooh, yeah)5Embed",spotify:track:0rimetBQIYXE3uMCbuXBUa,0.652,0.41,4,-8.323,0,0.158,0.333,0,0.064,0.495,75.09,audio_features,0rimetBQIYXE3uMCbuXBUa,https://api.spotify.com/v1/tracks/0rimetBQIYXE3uMCbuXBUa,https://api.spotify.com/v1/audio-analysis/0rimetBQIYXE3uMCbuXBUa,303333,4
