pc,variance,cumulative_variance
PC1,0.16317289356198778,0.16317289356198778
PC2,0.13115430151181162,0.2943271950737994
PC3,0.09930487791325622,0.3936320729870556
PC4,0.09079743505076769,0.4844295080378233
PC5,0.08698064426400895,0.5714101523018322
PC6,0.07562965254564834,0.6470398048474806
PC7,0.07148484884381916,0.7185246536912997
PC8,0.06806426024454443,0.7865889139358442
PC9,0.058872470657040814,0.845461384592885
PC10,0.05211834180451511,0.8975797263974001
PC11,0.04710526060365871,0.9446849870010589
PC12,0.035738623883665804,0.9804236108847246
PC13,0.0195763891152753,0.9999999999999999
